就自付差額項目,資料年月,縣市別,特約類別,醫事機構代碼,醫事機構名稱,自付差額數量占率,同儕平均值
人工水晶體,202103,屏東縣,區域醫院,0943010017,寶建醫療社團法人寶建醫院,68.8,50.3
人工水晶體,202103,屏東縣,區域醫院,0943030019,安泰醫療社團法人安泰醫院,55.6,50.3
人工水晶體,202103,屏東縣,區域醫院,1343030018,輔英科技大學附設醫院,52.2,50.3
人工水晶體,202103,彰化縣,區域醫院,0137170515,衛生福利部彰化醫院,32.4,50.3
人工水晶體,202103,彰化縣,區域醫院,0937010019,秀傳醫療社團法人秀傳紀念醫院,55.9,50.3
人工水晶體,202103,彰化縣,區域醫院,1137020511,秀傳醫療財團法人彰濱秀傳紀念醫院,33.3,50.3
人工水晶體,202103,新北市,區域醫院,0131020016,新北市立聯合醫院,11.1,50.3
人工水晶體,202103,新北市,區域醫院,0131060029,衛生福利部臺北醫院,45.5,50.3
人工水晶體,202103,新北市,區域醫院,1131050515,佛教慈濟醫療財團法人台北慈濟醫院,65.2,50.3
人工水晶體,202103,新北市,區域醫院,1131090019,行天宮醫療志業醫療財團法人恩主公醫院,51.2,50.3
人工水晶體,202103,新北市,區域醫院,1131110516,國泰醫療財團法人汐止國泰綜合醫院,69.9,50.3
人工水晶體,202103,新北市,區域醫院,1231050017,天主教耕莘醫療財團法人耕莘醫院,52.6,50.3
人工水晶體,202103,新北市,區域醫院,1331040513,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,59.4,50.3
人工水晶體,202103,新竹市,區域醫院,0412040012,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,40.4,50.3
人工水晶體,202103,新竹市,區域醫院,1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,57.7,50.3
人工水晶體,202103,桃園市,區域醫院,0132010014,衛生福利部桃園醫院,46.8,50.3
人工水晶體,202103,桃園市,區域醫院,0532090029,國軍桃園總醫院附設民眾診療服務處,42.9,50.3
人工水晶體,202103,桃園市,區域醫院,1132010024,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,22.7,50.3
人工水晶體,202103,桃園市,區域醫院,1532011154,敏盛綜合醫院,71.2,50.3
人工水晶體,202103,桃園市,區域醫院,1532100049,聯新國際醫院,42.3,50.3
人工水晶體,202103,臺中市,區域醫院,0136010010,衛生福利部豐原醫院,25.0,50.3
人工水晶體,202103,臺中市,區域醫院,0536190011,國軍台中總醫院附設民眾診療服務處,6.7,50.3
人工水晶體,202103,臺中市,區域醫院,0917070029,林新醫療社團法人林新醫院,84.2,50.3
人工水晶體,202103,臺中市,區域醫院,0936050029,光田醫療社團法人光田綜合醫院,40.4,50.3
人工水晶體,202103,臺中市,區域醫院,0936060016,童綜合醫療社團法人童綜合醫院,46.7,50.3
人工水晶體,202103,臺中市,區域醫院,1136090519,佛教慈濟醫療財團法人台中慈濟醫院,45.7,50.3
人工水晶體,202103,臺中市,區域醫院,1136200015,仁愛醫療財團法人大里仁愛醫院,8.3,50.3
人工水晶體,202103,臺中市,區域醫院,1517061032,澄清綜合醫院中港分院,67.4,50.3
人工水晶體,202103,臺北市,區域醫院,0101090517,臺北市立聯合醫院,54.1,50.3
人工水晶體,202103,臺北市,區域醫院,0501010019,三軍總醫院松山分院附設民眾診療服務處,58.3,50.3
人工水晶體,202103,臺北市,區域醫院,1101010021,基督復臨安息日會醫療財團法人臺安醫院,86.8,50.3
人工水晶體,202103,臺北市,區域醫院,1101160017,振興醫療財團法人振興醫院,58.1,50.3
人工水晶體,202103,臺北市,區域醫院,1301170017,臺北醫學大學附設醫院,73.3,50.3
人工水晶體,202103,臺南市,區域醫院,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),18.2,50.3
人工水晶體,202103,臺南市,區域醫院,1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,14.3,50.3
人工水晶體,202103,臺南市,區域醫院,1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,21.4,50.3
人工水晶體,202103,臺南市,區域醫院,1141090512,奇美醫療財團法人柳營奇美醫院,38.5,50.3
人工水晶體,202103,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,50.0,50.3
人工水晶體,202103,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,27.3,50.3
人工水晶體,202103,花蓮縣,區域醫院,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,35.0,50.3
人工水晶體,202103,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,63.9,50.3
人工水晶體,202103,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,66.7,50.3
調控式腦室腹腔引流系統,202103,臺南市,區域醫院,1305370013,臺南市立安南醫院-委託中國醫藥大學興建經營,87.5,12.4
調控式腦室腹腔引流系統,202103,臺東縣,區域醫院,1146010014,台灣基督長老教會馬偕醫療財團法人台東馬偕紀念醫院,80.0,12.4
調控式腦室腹腔引流系統,202103,花蓮縣,區域醫院,1145010038,臺灣基督教門諾會醫療財團法人門諾醫院,100.0,12.4
調控式腦室腹腔引流系統,202103,雲林縣,區域醫院,0439010518,國立臺灣大學醫學院附設醫院雲林分院,100.0,12.4
調控式腦室腹腔引流系統,202103,雲林縣,區域醫院,1339060017,中國醫藥大學北港附設醫院,61.5,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,0102070020,高雄市立大同醫院（委託財團法人私立高雄醫學大學附設中和紀念,100.0,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,100.0,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,0502080015,國軍高雄總醫院附設民眾診療服務處,66.7,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,0902080013,阮綜合醫療社團法人阮綜合醫院,100.0,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,100.0,12.4
調控式腦室腹腔引流系統,202103,高雄市,區域醫院,1142120001,義大醫療財團法人義大醫院,100.0,12.4
治療淺股動脈狹窄之塗藥裝置,202103,嘉義縣,區域醫院,1140010510,長庚醫療財團法人嘉義長庚紀念醫院,57.1,54.2
治療淺股動脈狹窄之塗藥裝置,202103,宜蘭縣,區域醫院,0434010518,國立陽明交通大學附設醫院,60.0,54.2
治療淺股動脈狹窄之塗藥裝置,202103,宜蘭縣,區域醫院,1134020019,醫療財團法人羅許基金會羅東博愛醫院,12.5,54.2
