就自付差額項目,資料年月,縣市別,特約類別,醫事機構代碼,醫事機構名稱,自付差額數量占率,同儕平均值
人工心律調節器,202007,新竹市,地區醫院,1112010528,國泰醫療財團法人新竹國泰綜合醫院,33.3,57.1
生物組織心臟瓣膜,202007,新北市,地區醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,100.0,20.0
生物組織心臟瓣膜,202007,新北市,地區醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,100.0,20.0
生物組織心臟瓣膜,202007,新竹縣,地區醫院,1333050017,中國醫藥大學新竹附設醫院,100.0,20.0
生物組織心臟瓣膜,202007,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,50.0,20.0
調控式腦室腹腔引流系統,202007,南投縣,地區醫院,0938030016,佑民醫療社團法人佑民醫院,75.0,11.5
調控式腦室腹腔引流系統,202007,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,彰化縣,地區醫院,1137080017,彰化基督教醫療財團法人二林基督教醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,新北市,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,新竹縣,地區醫院,0633030010,臺北榮民總醫院新竹分院,100.0,11.5
調控式腦室腹腔引流系統,202007,澎湖縣,地區醫院,0544010031,三軍總醫院澎湖分院附設民眾診療服務處,100.0,11.5
調控式腦室腹腔引流系統,202007,臺中市,地區醫院,0903150014,林新醫療社團法人烏日林新醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,苗栗縣,地區醫院,0935020027,李綜合醫療社團法人苑裡李綜合醫院,33.3,11.5
調控式腦室腹腔引流系統,202007,雲林縣,地區醫院,1139030015,天主教若瑟醫療財團法人若瑟醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,高雄市,地區醫院,0142030019,衛生福利部旗山醫院,100.0,11.5
調控式腦室腹腔引流系統,202007,高雄市,地區醫院,1542050056,建佑醫院,100.0,11.5
治療淺股動脈狹窄之塗藥裝置,202007,新北市,地區醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,33.3,66.7
治療淺股動脈狹窄之塗藥裝置,202007,臺中市,地區醫院,0903150014,林新醫療社團法人烏日林新醫院,100.0,66.7
治療淺股動脈狹窄之塗藥裝置,202007,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,20.0,66.7
加長型伽瑪髓內釘組,202007,南投縣,地區醫院,0938030016,佑民醫療社團法人佑民醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,南投縣,地區醫院,1138010019,彰化基督教醫療財團法人南投基督教醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,南投縣,地區醫院,1538041101,竹山秀傳醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,屏東縣,地區醫院,0943160012,枋寮醫療社團法人枋寮醫院,50.0,26.2
加長型伽瑪髓內釘組,202007,彰化縣,地區醫院,0937050014,員榮醫療社團法人員榮醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,彰化縣,地區醫院,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,50.0,26.2
加長型伽瑪髓內釘組,202007,彰化縣,地區醫院,1537051292,員生醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,0131060010,衛生福利部樂生療養院,100.0,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,0431270012,國立臺灣大學醫學院附設醫院金山分院,50.0,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,33.3,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,1531010279,板橋中興醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,新北市,地區醫院,1531060180,新泰綜合醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,新竹市,地區醫院,0512040014,國軍新竹地區醫院附設民眾診療服務處,100.0,26.2
加長型伽瑪髓內釘組,202007,新竹市,地區醫院,1112010528,國泰醫療財團法人新竹國泰綜合醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,新竹縣,地區醫院,0433030016,國立臺灣大學醫學院附設醫院竹東分院,50.0,26.2
加長型伽瑪髓內釘組,202007,新竹縣,地區醫院,0633030010,臺北榮民總醫院新竹分院,100.0,26.2
加長型伽瑪髓內釘組,202007,新竹縣,地區醫院,1333050017,中國醫藥大學新竹附設醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,桃園市,地區醫院,0132110519,衛生福利部桃園醫院新屋分院,100.0,26.2
加長型伽瑪髓內釘組,202007,桃園市,地區醫院,0932020034,新國民醫療社團法人新國民醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,澎湖縣,地區醫院,0144010015,衛生福利部澎湖醫院,100.0,26.2
加長型伽瑪髓內釘組,202007,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,71.4,26.2
加長型伽瑪髓內釘組,202007,臺南市,地區醫院,1105050012,奇美醫療財團法人佳里奇美醫院,100.0,26.2
