就自付差額項目,資料年月,縣市別,特約類別,醫事機構代碼,醫事機構名稱,自付差額數量占率,同儕平均值
人工水晶體,202007,南投縣,基層診所,3538011847,陳祖永眼科診所,4.2,62.3
人工水晶體,202007,南投縣,基層診所,3538030815,現代眼科診所,1.7,62.3
人工水晶體,202007,南投縣,基層診所,3538033067,為國眼科診所,14.9,62.3
人工水晶體,202007,南投縣,基層診所,3538040339,劉輔仁眼科診所,29.7,62.3
人工水晶體,202007,南投縣,基層診所,3538110121,劉眼科診所,23.5,62.3
人工水晶體,202007,嘉義市,基層診所,3522013200,和平眼科診所,80.0,62.3
人工水晶體,202007,嘉義市,基層診所,3522021195,陳眼科診所,34.5,62.3
人工水晶體,202007,嘉義市,基層診所,3522021819,李建忠眼科診所,6.8,62.3
人工水晶體,202007,嘉義市,基層診所,3522023439,安泰眼科診所,64.1,62.3
人工水晶體,202007,嘉義市,基層診所,3522023519,德祐眼科診所,58.8,62.3
人工水晶體,202007,嘉義市,基層診所,3522024061,明家眼科診所,61.3,62.3
人工水晶體,202007,嘉義市,基層診所,3522024196,祐明眼科診所,53.3,62.3
人工水晶體,202007,嘉義市,基層診所,3522024221,陳伯卿眼科診所,26.9,62.3
人工水晶體,202007,嘉義市,基層診所,3522024374,信合美診所,27.0,62.3
人工水晶體,202007,嘉義市,基層診所,3522024436,大學眼科診所,35.2,62.3
人工水晶體,202007,嘉義縣,基層診所,3540010261,蔡眼科診所,16.7,62.3
人工水晶體,202007,嘉義縣,基層診所,3540011679,佑明眼科診所,35.7,62.3
人工水晶體,202007,嘉義縣,基層診所,3540031297,大林黃眼科診所,13.6,62.3
人工水晶體,202007,嘉義縣,基層診所,3540040321,李眼科診所,16.0,62.3
人工水晶體,202007,基隆市,基層診所,3511010597,瑞光眼科診所,9.1,62.3
人工水晶體,202007,基隆市,基層診所,3511020253,康寧眼科診所,35.7,62.3
人工水晶體,202007,宜蘭縣,基層診所,3534011949,宜蘭翰林眼科診所,42.9,62.3
人工水晶體,202007,宜蘭縣,基層診所,3534012151,胡進忠眼科診所,39.1,62.3
人工水晶體,202007,宜蘭縣,基層診所,3534020162,五福診所,37.5,62.3
人工水晶體,202007,宜蘭縣,基層診所,3534020699,羅東翰林眼科診所,64.7,62.3
人工水晶體,202007,屏東縣,基層診所,3543010361,劉眼科診所,30.8,62.3
人工水晶體,202007,屏東縣,基層診所,3543011064,沐恩眼科診所,18.4,62.3
人工水晶體,202007,屏東縣,基層診所,3543011466,盧富美眼科診所,35.1,62.3
人工水晶體,202007,屏東縣,基層診所,3543011662,重光眼科診所,12.0,62.3
人工水晶體,202007,屏東縣,基層診所,3543011886,歐景權眼科診所,13.0,62.3
人工水晶體,202007,屏東縣,基層診所,3543014163,屏東信合美診所,35.0,62.3
